id,DistrictCode,DistrictName,DivisionName,DivisionCode
1,1,Joypurhat District,Rajshahi Division,1
2,2,Bogra District,Rajshahi Division,1
3,3,Naogaon District,Rajshahi Division,1
4,4,Natore District,Rajshahi Division,1
5,5,Nawabganj District,Rajshahi Division,1
6,6,Pabna District,Rajshahi Division,1
7,7,Sirajganj District,Rajshahi Division,1
8,8,Rajshahi District,Rajshahi Division,1
9,9,Dinajpur District,Rangpur Division,2
10,10,Gaibandha District,Rangpur Division,2
11,11,Kurigram District,Rangpur Division,2
12,12,Lalmonirhat District,Rangpur Division,2
13,13,Nilphamari District,Rangpur Division,2
14,14,Panchagarh District,Rangpur Division,2
15,15,Rangpur District,Rangpur Division,2
16,16,Thakurgaon District,Rangpur Division,2
17,17,Barguna District,Barisal Division,3
18,18,Barisal District,Barisal Division,3
19,19,Bhola District,Barisal Division,3
20,20,Jhalokati District,Barisal Division,3
21,21,Patuakhali District,Barisal Division,3
22,22,Pirojpur District,Barisal Division,3
23,23,Bandarban District,Chittagong Division,4
24,24,Brahmanbaria District,Chittagong Division,4
25,25,Chandpur District,Chittagong Division,4
26,26,Chittagong District,Chittagong Division,4
27,27,Comilla District,Chittagong Division,4
28,28,Cox's Bazar District,Chittagong Division,4
29,29,Feni District,Chittagong Division,4
30,30,Khagrachhari District,Chittagong Division,4
31,31,Lakshmipur District,Chittagong Division,4
32,32,Noakhali District,Chittagong Division,4
33,33,Rangamati District,Chittagong Division,4
34,34,Dhaka District,Dhaka Division,5
35,35,Faridpur District,Dhaka Division,5
36,36,Gazipur District,Dhaka Division,5
37,37,Gopalganj District,Dhaka Division,5
38,38,Jamalpur District,Dhaka Division,5
39,39,Kishoreganj District,Dhaka Division,5
40,40,Madaripur District,Dhaka Division,5
41,41,Manikganj District,Dhaka Division,5
42,42,Munshiganj District,Dhaka Division,5
43,43,Mymensingh District,Dhaka Division,5
44,44,Narayanganj District,Dhaka Division,5
45,45,Netrokona District,Dhaka Division,5
46,46,Rajbari District,Dhaka Division,5
47,47,Shariatpur District,Dhaka Division,5
48,48,Sherpur District,Dhaka Division,5
49,49,Tangail District,Dhaka Division,5
50,50,Narsingdi District,Dhaka Division,5
51,51,Bagerhat District,Khulna Division,6
52,52,Chuadanga District,Khulna Division,6
53,53,Jessore District,Khulna Division,6
54,54,Jhenaida District,Khulna Division,6
55,55,Khulna District,Khulna Division,6
56,56,Kushtia District,Khulna Division,6
57,57,Magura District,Khulna Division,6
58,58,Meherpur District,Khulna Division,6
59,59,Narail District,Khulna Division,6
60,60,Satkhira District,Khulna Division,6
61,61,Habiganj District,Sylhet Division,7
62,62,Moulvibazar District,Sylhet Division,7
63,63,Sunamganj District,Sylhet Division,7
64,64,Sylhet District,Sylhet Division,7
